stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
36.17468,0,1718,-115.13041,,,,,NB Maryland after Bonanza,0,1718,
36.261179,0,4026,-115.157413,,,,,WB Ann after Camino Eldorado,0,4026,
36.265737,0,4024,-115.15901,,,,,SB Camino Eldorado after Bent Arrow,0,4024,
36.263132,0,4025,-115.157896,,,,,SB Camino Eldorado after Red Hollow,0,4025,
36.267961,0,4023,-115.160275,,,,,SB Camino Eldorado after Tropical,0,4023,
36.269284,0,4021,-115.153909,,,,,WB Tropical after Revere,0,4021,
36.144271,0,3383,-115.28839,,,,,WB Sahara after Crystal Water,0,3383,
36.217197,0,592,-115.21366,,,,,WB Cheyenne after Rancho,0,592,
36.184927,0,5980,-115.116587,,,,Searles Ave & Eastern Ave,WB Searles after Eastern,0,5980,
36.184907,0,5981,-115.121517,,,,Searles Ave & 21st St,WB Searles after 21st,0,5981,
35.9702,0,340,-114.845398,,,,,SB Buchanan before Pinata,0,340,
36.185429,0,342,-115.260158,,,,,SB Buffalo before Carmen,0,342,
36.072353,0,3998,-115.100996,,,,,SB Pecos before Sunset,0,3998,
36.01962,0,3997,-115.098037,,,,,WB Paseo Verde before St Rose,0,3997,
36.025672,0,7030,-115.278551,,,,,NB Durango before Pebble,0,7030,
36.037425,0,348,-114.96559,,,,,EB Burkholder before Cabrillo,0,348,
36.0705,0,6487,-115.017162,,,,Boulder Hwy & Galleria Dr,SB Boulder after Galleria,0,6487,
36.254868,0,6354,-115.116854,,,,Losee Rd & Washburn Rd,NB Losee after Washburn,0,6354,
36.172585,0,6152,-115.142958,,,,Bonanza Rd & 525 E. Bonanza Rd,SB Casino Center after Stewart,0,6152,
36.221537,0,3688,-115.118227,,,,,SB Civic Center after Seco Adobe,0,3688,
36.168315,0,6154,-115.14139,,,,Las Vegas Blvd & Carson Ave,SB Las Vegas before Carson,0,6154,
36.16402,0,6156,-115.148608,,,,Casino Center Blvd & Bonneville Ave,SB Casino Center before Garces,0,6156,
36.163949,0,6157,-115.149026,,,,Garces Ave & Casino Center Blvd,WB Garces after Casino Center,0,6157,
36.164385,0,6158,-115.148364,,,,Garces Ave & First St,SB Casino Center after Bonneville,0,6158,
36.165109,0,6159,-115.148644,,,,Bonneville Ave & First St,EB Bonneville after 1st,0,6159,
36.218104,0,594,-115.239636,,,,,WB Cheyenne before Serene,0,594,
36.057024,0,6797,-115.114173,,,,,WB Warm Springs before Eastern,0,6797,
36.276155,0,6794,-115.153297,,,,,SB Revere after Centennial,0,6794,
36.272511,0,6795,-115.153297,,,,,SB Revere after Azure,0,6795,
36.27652,0,6792,-115.139955,,,,,WB Centennial after Goldfield,0,6792,
36.276663,0,6793,-115.14874,,,,Centennial & Romancing Stone,WB Centennial before Romancing Ston,0,6793,
36.162024,0,2318,-115.172876,,,,,SB Rancho after Palomino,0,2318,
36.168527,0,2319,-115.17243,,,,,NB Rancho after Park Way,0,2319,
36.24264,0,2316,-115.235562,,,,,SB Rancho after Red Coach,0,2316,
36.163247,0,2317,-115.172536,,,,,NB Rancho after Palomino,0,2317,
36.115037,0,963,-115.073046,,,,,WB Flamingo before Mountain Vista,0,963,
36.206175,0,2312,-115.202353,,,,,SB Rancho after Airport,0,2312,
36.173026,0,2310,-115.173199,,,,,SB Rancho after Mesquite,0,2310,
36.221167,0,2311,-115.215977,,,,,SB Rancho after Michael,0,2311,
36.012025,0,5854,-114.963435,,,,College Dr & Horizon Dr,SB College after Horizon,0,5854,
36.005855,0,5856,-114.963123,,,,College Dr & Heather Dr,NB College after Heather,0,5856,
36.160033,0,5857,-115.29126,,,,S RAMPART BLVD & S FORT APACHE RD,NB Rampart after Charleston,0,5857,
36.199368,0,5850,-115.283075,,,,N RAMPART BLVD & W LAKE MEAD BLVD,SB Rampart after Lake Mead,0,5850,
36.099497,0,5851,-115.26137,,,,Tropicana Ave & Buffalo Dr,EB Tropicana before Buffalo,0,5851,
36.002858,0,298,-114.940399,,,,,NB Boulder after Roberts,0,298,
36.051466,0,296,-114.995796,,,,,SB Boulder before Warm Springs,0,296,
36.025463,0,297,-114.965796,,,,,NB Boulder after Palo Verde,0,297,
36.051838,0,295,-114.995476,,,,,NB Boulder after Warm Springs,0,295,
36.112263,0,292,-115.064129,,,,,SB Boulder after Nellis,0,292,
36.112271,0,293,-115.063453,,,,,NB Boulder before Nellis,0,293,
36.218656,0,597,-115.274772,,,,,WB Cheyenne after Soaring Gulls,0,597,
36.125739,0,3772,-115.252961,,,,,WB Spring Mountain after Tenaya,0,3772,
36.159104,0,3776,-115.315151,,,,,WB Charleston after Hualapai,0,3776,
36.159166,0,3775,-115.292139,,,,,WB Charleston after Rampart,0,3775,
36.217761,0,587,-115.099191,,,,,WB Cheyenne after Pecos,0,587,
36.114613,0,968,-115.149887,,,,,EB Flamingo after Palos Verdes,0,968,
36.107583,0,270,-115.058858,,,,,SB Boulder after Harmon,0,270,
36.121852,0,272,-115.074242,,,,,NB Boulder after Indios,0,272,
36.120758,0,273,-115.073699,,,,,SB Boulder after Indios,0,273,
36.055367,0,275,-114.999437,,,,,NB Boulder after King,0,275,
36.040496,0,276,-114.982682,,,,,NB Boulder after Lake Mead,0,276,
36.130638,0,278,-115.084147,,,,,NB Boulder after Lamb,0,278,
36.217619,0,582,-115.133487,,,,,EB Cheyenne after 5th,0,582,
36.276577,0,6359,-115.108815,,,,Centennial Pkwy & Statz St,WB Centennial after Statz,0,6359,
36.21774,0,596,-115.18004,,,,,WB Cheyenne after Simmons,0,596,
36.217899,0,583,-115.134599,,,,,WB Cheyenne after 5th,0,583,
36.114731,0,962,-115.139003,,,,,WB Flamingo after Maryland,0,962,
36.12223,0,2146,-115.105334,,,,,SB Pecos before Mojave,0,2146,
36.217068,0,581,-115.22179,,,,,WB Cheyenne after Miramar,0,581,
36.197078,0,2268,-115.284659,,,,,NB Rampart after Scholar,0,2268,
36.20647,0,2262,-115.242386,,,,,SB Rainbow after Yorktown,0,2262,
36.21826,0,2263,-115.27895,,,,,SB Rampart after Cheyenne,0,2263,
36.224785,0,2260,-115.242414,,,,,SB Rainbow after Willow Wood,0,2260,
36.207435,0,2261,-115.242183,,,,,NB Rainbow after Yorktown,0,2261,
36.20975,0,2264,-115.2791,,,,,SB Rampart after Del Webb,0,2264,
36.200609,0,2265,-115.281369,,,,,NB Rampart after Lake Mead,0,2265,
36.144129,0,2442,-115.109251,,,,,EB Sahara after McLeod,0,2442,
36.144455,0,2443,-115.110322,,,,,WB Sahara after McLeod,0,2443,
36.144354,0,2441,-115.138199,,,,,WB Sahara after Maryland,0,2441,
36.144199,0,2447,-115.06482,,,,,EB Sahara after Nellis,0,2447,
36.144225,0,2444,-115.105005,,,,,EB Sahara after Mojave,0,2444,
36.144514,0,2445,-115.105886,,,,,WB Sahara after Mojave,0,2445,
36.144734,0,2449,-115.03872,,,,,WB Sahara after Orchard Valley,0,2449,
36.267064,0,5554,-115.260599,,,,CENTENNIAL CENTER BLVD & PAINTED MIRAGE RD,NB Centennial Center at auto world,0,5554,
36.261276,0,109,-115.226239,,,,,WB Ann after Jones,0,109,
36.166609,0,102,-115.265077,,,,,WB Alta after Villa Monterrey,0,102,
36.166538,0,100,-115.239958,,,,,WB Alta before Vassar,0,100,
36.166354,0,101,-115.240177,,,,,EB Alta after Lorenzi,0,101,
36.114447,0,2101,-115.100709,,,,,NB Pecos before Flamingo,0,2101,
36.154004,0,2044,-115.101121,,,,,SB Palm after Olive,0,2044,
36.154228,0,2045,-115.100908,,,,,NB Palm before Olive,0,2045,
36.158112,0,2043,-115.101221,,,,,SB Palm after Charleston,0,2043,
36.094239,0,2107,-115.100859,,,,,NB Pecos after Hacienda,0,2107,
36.225126,0,6379,-115.113628,,,,,WB Gowan after Berg,0,6379,
36.013833,0,6370,-115.173084,,,,Silverado Ranch Blvd & Las Vegas Blvd,WB Silverado Ranch after LV Blvd,0,6370,
36.070695,0,6371,-115.163575,,,,Gilespie St & Sunset Rd,SB Gilespie after Sunset,0,6371,
36.276965,0,6372,-115.27376,,,,Centennial Center Blvd & 6551 Centennial Center Blvd,EB Centennial Ctr after Gr Montcito,0,6372,
36.156924,0,6373,-115.191764,,,,Valley View & Village at Valley View Apts.,SB Valley View before Village at VV,0,6373,
36.151819,0,6374,-115.190893,,,,,SB Valley View before Oakey,0,6374,
36.002004,0,6375,-115.109721,,,,Coronado Center Dr & Eastern Ave,SB Coronado Center after Eastern,0,6375,
35.998646,0,6376,-115.109216,,,,Horizon Ridge & Coronado Center Dr,EB Horizon Ridge after Coronado Ctr,0,6376,
35.999924,0,6377,-115.10535,,,,Eastern Ave & Horizon Ridge Pkwy,NB Eastern after Horizon Ridge,0,6377,
36.20207,0,2328,-115.198596,,,,,SB Rancho after Smoke Ranch,0,2328,
36.099958,0,2839,-115.244119,,,,,WB Tropicana after Rainbow,0,2839,
36.099679,0,2838,-115.241679,,,,,EB Tropicana after Rainbow,0,2838,
36.166226,0,5116,-115.288824,,,,,SB Rampart after Alta,0,5116,
36.16631,0,2639,-115.070593,,,,,EB Stewart after Marion,0,2639,
36.100248,0,2834,-115.097179,,,,,WB Tropicana after Pearl,0,2834,
36.013718,0,7269,-115.167645,,,,,Silverado Ranch @ Gilespie (W),0,7269,
36.1551,0,7268,-115.151152,,,,,NB 3rd after Imperial,0,7268,
36.085278,0,7265,-115.247376,,,,,WB Russell before Timber Creek,0,7265,
36.085045,0,7264,-115.251114,,,,,EB Russell after Tenaya,0,7264,
36.15487,0,7267,-115.151263,,,,,SB 3rd before Imperial,0,7267,
36.283063,0,7266,-115.135173,,,,,SB N. 5th after Deer Springs,0,7266,
36.243066,0,7261,-115.160453,,,,Camino Al Norte & Craig Ranch,SB Camino Al Norte after Craig Rnch,0,7261,
36.243158,0,7260,-115.159855,,,,Camino Al Norte & Craig Ranch,NB Camino Al Norte befor Craig Rnch,0,7260,
36.085061,0,7263,-115.261805,,,,,WB Russell after Buffalo,0,7263,
36.032674,0,7262,-114.982868,,,,,NB Water St Ns Army St,0,7262,
36.163586,0,6206,-115.156599,,,,Grand Central Pkwy & LV Pemium Outlet,SDX Nb Gr Centr at LV Prm Outlts-No,0,6206,
36.168351,0,6201,-115.142251,,,,Carson Ave & Las Vegas Blvd,EB Carson after 4th,0,6201,
36.173626,0,6203,-115.140356,,,,4th St & Stewart Ave,NB 4th after Stewart,0,6203,
36.063622,0,2684,-115.035497,,,,,EB Sunset after Marks,0,2684,
36.063919,0,2685,-115.035504,,,,,WB Sunset before Marks,0,2685,
36.07144,0,2686,-115.1119,,,,,EB Sunset after McLeod,0,2686,
36.071678,0,2687,-115.113472,,,,,WB Sunset after McLeod,0,2687,
36.07077,0,2680,-115.081219,,,,,EB Sunset after Green Valley,0,2680,
36.071016,0,2681,-115.083296,,,,,WB Sunset after Green Valley,0,2681,
36.071398,0,2682,-115.147669,,,,,EB Sunset after Grier,0,2682,
36.195979,0,1436,-115.11703,,,,,WB Lake Mead after Civic Center,0,1436,
36.056293,0,3999,-115.100511,,,,,SB Pecos after Warm Springs,0,3999,
36.164963,0,6808,-115.14823,,,,,EB Bonneville before Casino Center,0,6808,
36.082052,0,6809,-115.052901,,,,,EB Russell after Whitney Ranch,0,6809,
36.160787,0,6807,-115.15378,,,,,SB Commerce before Charleston,0,6807,
36.161872,0,6804,-115.152042,,,,,NB Main before Hoover,0,6804,
36.155309,0,6802,-115.155265,,,,,SB Commerce before Imperial,0,6802,
36.15251,0,6803,-115.155544,,,,,SB Commerce before Wyoming,0,6803,
36.157818,0,6801,-115.155008,,,,Commerce & Charleston,SB Commerce before California,0,6801,
36.166155,0,98,-115.191447,,,,,EB Alta after Valley View,0,98,
36.100731,0,2812,-115.170776,,,,,EB Tropicana after Las Vegas,0,2812,
36.195739,0,1435,-115.115687,,,,,EB Lake Mead after Civic Center,0,1435,
36.217533,0,5403,-115.116682,,,,E CHEYENNE AV & CARROLL ST,EB Cheyenne before Carroll,0,5403,
36.166304,0,92,-115.226689,,,,,EB Alta after Slayton,0,92,
36.166328,0,95,-115.232454,,,,,EB Alta after Torrey Pines,0,95,
36.165939,0,97,-115.216989,,,,,EB Alta after Upland,0,97,
36.166518,0,96,-115.233697,,,,,WB Alta after Torrey Pines,0,96,
36.199315,0,1623,-115.017753,,,,,SB Los Feliz before Lake Mead,0,1623,
36.1637,0,5183,-115.29111,,,,,SB Rampart after Sir William,0,5183,
36.188588,0,1993,-115.116567,,,,,WB Owens after Civic Center,0,1993,
36.2138,0,5181,-115.27902,,,,,SB Rampart after Lazarette,0,5181,
36.188579,0,1995,-115.138198,,,,,WB Owens after Davis,0,1995,
36.188338,0,1994,-115.137588,,,,,EB Owens after Davis,0,1994,
36.188384,0,1997,-115.114902,,,,,EB Owens after Eastern,0,1997,
36.18849,0,1999,-115.088069,,,,,WB Owens before Walnut,0,1999,
36.188318,0,1998,-115.082888,,,,,EB Owens before Vegasgreen,0,1998,
36.195979,0,1431,-115.258657,,,,,EB Lake Mead after Buffalo,0,1431,
36.195878,0,1447,-115.075311,,,,,WB Lake Mead after Dolly,0,1447_merged_357925044,
36.100299,0,2860,-115.220627,,,,,WB Tropicana before Jones,0,2860,
36.100778,0,2862,-115.189109,,,,,EB Tropicana after Valley View,0,2862,
36.101059,0,2863,-115.190469,,,,,WB Tropicana after Valley View,0,2863,
36.217847,0,559,-115.142567,,,,,EB Cheyenne after Commerce,0,559,
36.217764,0,558,-115.170882,,,,,WB Cheyenne after Clayton,0,558,
36.100818,0,2866,-115.140759,,,,,EB Tropicana after Wilbur,0,2866,
36.100778,0,2867,-115.19509,,,,,EB Tropicana after Wynn,0,2867,
36.217687,0,555,-115.136413,,,,,EB Cheyenne before 5th,0,555,
36.218507,0,554,-115.265577,,,,,WB Cheyenne after Cimarron,0,554,
36.217552,0,557,-115.169576,,,,,EB Cheyenne after Clayton,0,557,
36.217522,0,556,-115.11931,,,,,EB Cheyenne after Civic Center,0,556,
36.217602,0,551,-115.130009,,,,,EB Cheyenne after Bucyrus Erie,0,551,
36.217536,0,550,-115.112408,,,,,EB Cheyenne after Berg,0,550,
36.21732,0,553,-115.194525,,,,,EB Cheyenne after California,0,553,
36.218407,0,552,-115.26118,,,,,WB Cheyenne after Buffalo,0,552,
36.19583,0,1438,-115.166113,,,,,WB Lake Mead after Comstock,0,1438,
36.195597,0,1439,-115.16526,,,,,EB Lake Mead before Stella Lake,0,1439,
36.109687,0,1199,-115.22508,,,,,SB Jones after Gunderson,0,1199,
36.178906,0,1198,-115.22382,,,,,NB Jones after Granada,0,1198,
35.968807,0,3348,-114.857688,,,,,EB Boulder City at Red Mtn Plaza,0,3348,
35.969078,0,3349,-114.857699,,,,,WB Boulder City at Marshall Plaza,0,3349,
36.011651,0,7078,-115.262096,,,,,SB Buffalo after Gomer,0,7078,
36.008116,0,7079,-115.261766,,,,,SB Buffalo after Canyon Estates,0,7079,
36.198319,0,1191,-115.223947,,,,,SB Jones after Eugene,0,1191,
36.199064,0,1190,-115.223712,,,,,NB Jones after Eugene,0,1190,
36.162355,0,1193,-115.22398,,,,,SB Jones after Evergreen,0,1193,
36.164019,0,1192,-115.22372,,,,,NB Jones after Evergreen,0,1192,
36.115467,0,1195,-115.224762,,,,,NB Jones after Flamingo,0,1195,
36.171095,0,1194,-115.223921,,,,,NB Jones before Upland,0,1194,
36.09577,0,1197,-115.22524,,,,,SB Jones after Foothill,0,1197,
36.113734,0,1196,-115.225032,,,,,SB Jones after Flamingo,0,1196,
36.096879,0,1759,-115.137019,,,,,SB Maryland after Reno,0,1759,
36.097941,0,1758,-115.136724,,,,,NB Maryland after Reno,0,1758,
36.089637,0,1756,-115.136731,,,,,NB Maryland before Rawhide,0,1756,
36.15068,0,1755,-115.137161,,,,,SB Maryland after Oakey,0,1755,
36.170666,0,1753,-115.130031,,,,,SB Maryland after Mesquite,0,1753,
36.171405,0,1752,-115.129719,,,,,NB Maryland after Mesquite,0,1752,
36.158511,0,1177,-115.224115,,,,,SB Jones after Charleston,0,1177,
36.160687,0,1176,-115.223793,,,,,NB Jones after Charleston,0,1176,
36.205754,0,1175,-115.224232,,,,,SB Jones after Cartier,0,1175,
36.184052,0,1174,-115.224038,,,,,SB Jones after Carmen,0,1174,
36.275216,0,6972,-115.034227,,,,,SB Mt Hood after Centennial,0,6972,
36.19175,0,1172,-115.224107,,,,,SB Jones after Carl,0,1172,
36.276479,0,6970,-115.026181,,,,,WB Centennial after Hollywood,0,6970,
36.16687,0,1170,-115.223915,,,,,SB Jones before Alta,0,1170,
36.239546,0,4250,-115.157751,,,,,WB Craig before Camino Al Norte,0,4250,
36.129685,0,4253,-115.279617,,,,,WB Desert Inn after Durango,0,4253,
36.2935,0,5474,-115.284992,,,,Grand Montecito & Ace,Centennial hills transit center park & ride,0,5474_merged_357925040,
36.071101,0,4254,-115.162679,,,,,EB Sunset after Gilespie,0,4254,
36.216187,0,1179,-115.225809,,,,,SB Jones after Cheyenne,0,1179,
36.269442,0,6979,-115.068905,,,,,WB Tropical after Puebla,0,6979,
36.27877,0,5533,-115.206312,,,,N DECATUR BLVD & W TROPICAL PKWY,NB Decatur before Rome,0,5533,
36.265776,0,5531,-115.206876,,,,N DECATUR BLVD & W EL CAMPO GRANDE AV,NB Decatur after El Campo Grande,0,5531,
36.085924,0,5536,-115.18486,,,,W RUSSELL RD & POLARIS AV,EB Russell after Polaris,0,5536,
36.17852,0,1875,-115.06203,,,,,NB Nellis after Harris,0,1875,
36.253497,0,5539,-115.153286,,,,CAMINO AL NORTE & W WASHBURN RD,SB Camino Al Norte after Washburn,0,5539,
36.25791,0,5538,-115.153292,,,,CAMINO AL NORTE & W WASHBURN RD,SB Camino Al Norte before Washburn,0,5538,
36.186787,0,1284,-115.134196,,,,,SB Las Vegas before Foremaster,0,1284,
36.238269,0,1281,-115.05852,,,,,SB Las Vegas before Nellis,0,1281,
36.021903,0,7188,-115.02411,,,,,EB Horizon Ridge before Dunblane,0,7188,
36.022484,0,7189,-115.019273,,,,Horizon Ridge & Clarissa Crest,EB Horizon Rdg before Clarissa Crst,0,7189,
36.198741,0,1579,-115.080292,,,,,SB Lamb after Judson,0,1579,
36.198952,0,1578,-115.080018,,,,,NB Lamb before Judson,0,1578,
36.232485,0,688,-115.207321,,,,,NB Decatur after Alexander,0,688,
36.238983,0,685,-115.197507,,,,,EB Craig after Valley,0,685,
36.240618,0,684,-115.063253,,,,,WB Craig after Nellis,0,684,
36.241647,0,1571,-115.079824,,,,,NB Lamb after Craig,0,1571,
