block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
b_356089661,0,4433,0,0,119 Koval / Simmons Northbound,12930,4_merged_357925064,357916260,
b_356089659,0,4433,0,0,119 Koval / Simmons Northbound,12930,4_merged_357925064,357916261,
b_356090214,0,4447,0,0,215 Bonanza Eastbound,13022,13_merged_357925063,357922719,
b_356090223,0,4447,0,0,215 Bonanza Eastbound,13022,13_merged_357925063,357922718,
b_356090223,0,4446,0,1,214 West -D Street,13019,13_merged_357925063,357922711,
b_356090231,0,4446,0,1,214 West -D Street,13020,13_merged_357925063,357922710,
b_356090220,0,4447,0,0,215 Bonanza Eastbound,13022,13_merged_357925063,357922713,
b_356090216,0,4447,0,0,215 Bonanza Eastbound,13022,13_merged_357925063,357922712,
b_356090220,0,4447,0,0,215 Bonanza Eastbound,13022,13_merged_357925063,357922715,
b_356090218,0,4447,0,0,215 Bonanza Eastbound,13022,13_merged_357925063,357922714,
b_356090222,0,4447,0,0,215 Bonanza Eastbound,13022,13_merged_357925063,357922717,
b_356090221,0,4447,0,0,215 Bonanza Eastbound,13022,13_merged_357925063,357922716,
b_356088512,0,4421,0,1,102 Jones Southbound,12869,2_merged_357925062,357902058,
b_356090066,0,4421,0,1,102 Jones Southbound,12869,2_merged_357925062,357902059,
b_356088510,0,4421,0,1,102 Jones Southbound,12869,2_merged_357925062,357902054,
b_356088511,0,4421,0,1,102 Jones Southbound,12869,2_merged_357925062,357902055,
b_356088510,0,4421,0,1,102 Jones Southbound,12869,2_merged_357925062,357902056,
b_356088511,0,4421,0,1,102 Jones Southbound,12869,2_merged_357925062,357902057,
b_356088515,0,4421,0,0,102 Jones Northbound,12868,2_merged_357925062,357902050,
b_356088517,0,4421,0,0,102 Jones Northbound,12868,2_merged_357925062,357902051,
b_356088514,0,4421,0,0,102 Jones Northbound,12868,2_merged_357925062,357902052,
b_356088511,0,4421,0,1,102 Jones Southbound,12869,2_merged_357925062,357902053,
a_356088434,0,4414,0,1,Deuce on The Strip Southbound,12831,13_merged_357925059,357901509,
a_356088432,0,4414,0,1,Deuce on The Strip Southbound,12831,13_merged_357925059,357901508,
a_356088444,0,4414,0,1,Deuce on The Strip Southbound,12831,13_merged_357925059,357901507,
a_356088430,0,4414,0,1,Deuce on The Strip Southbound,12831,13_merged_357925059,357901506,
a_356088438,0,4414,0,1,Deuce on The Strip Southbound,12831,13_merged_357925059,357901505,
a_356088437,0,4414,0,1,Deuce on The Strip Southbound,12831,13_merged_357925059,357901504,
a_356088443,0,4414,0,1,Deuce on The Strip Southbound,12831,13_merged_357925059,357901503,
a_356088442,0,4414,0,1,Deuce on The Strip Southbound,12831,13_merged_357925059,357901502,
a_356088441,0,4414,0,1,Deuce on The Strip Southbound,12831,13_merged_357925059,357901501,
a_356088447,0,4414,0,1,Deuce on The Strip Southbound,12831,13_merged_357925059,357901500,
a_356087402,0,4395,0,1,120 Rampart / Fort Apache Southbound,12711,3_merged_357925057,357887144,
a_356087399,0,4395,0,1,120 Rampart / Fort Apache Southbound,12711,3_merged_357925057,357887145,
a_356087400,0,4395,0,1,120 Rampart / Fort Apache Southbound,12711,3_merged_357925057,357887142,
a_356087321,0,4395,0,1,120 Rampart / Fort Apache Southbound,12711,3_merged_357925057,357887143,
a_356087402,0,4395,0,1,120 Rampart / Fort Apache Southbound,12711,3_merged_357925057,357887140,
a_356087399,0,4395,0,1,120 Rampart / Fort Apache Southbound,12711,3_merged_357925057,357887141,
a_356087811,0,4414,0,0,Deuce on The Strip Northbound,12830,2_merged_357925058,357893323,
a_356087810,0,4414,0,0,Deuce on The Strip Northbound,12830,2_merged_357925058,357893322,
a_356087819,0,4414,0,0,Deuce on The Strip Northbound,12830,2_merged_357925058,357893321,
a_356087818,0,4414,0,0,Deuce on The Strip Northbound,12830,2_merged_357925058,357893320,
a_356087815,0,4414,0,0,Deuce on The Strip Northbound,12830,2_merged_357925058,357893327,
a_356087820,0,4414,0,0,Deuce on The Strip Northbound,12830,2_merged_357925058,357893326,
a_356087813,0,4414,0,0,Deuce on The Strip Northbound,12830,2_merged_357925058,357893325,
a_356087825,0,4414,0,0,Deuce on The Strip Northbound,12830,2_merged_357925058,357893324,
b_356089838,0,4433,0,0,119 Koval / Simmons Northbound,12930,2_merged_357925062,357916341,
a_356087816,0,4414,0,0,Deuce on The Strip Northbound,12830,2_merged_357925058,357893329,
a_356087826,0,4414,0,0,Deuce on The Strip Northbound,12830,2_merged_357925058,357893328,
b_356089839,0,4433,0,0,119 Koval / Simmons Northbound,12930,2_merged_357925062,357916340,
b_356088846,0,4429,0,0,111A Pecos Northbound Evening Routing,12910,2_merged_357925062,357905086,
b_356088840,0,4429,0,1,111B Pecos / Green Valley Pkwy Southbound,12913,2_merged_357925062,357905087,
b_356089816,0,4429,0,0,111A Pecos Northbound Evening Routing,12910,2_merged_357925062,357905084,
b_356090026,0,4429,0,0,111A Pecos Northbound Evening Routing,12910,2_merged_357925062,357905085,
b_356090026,0,4429,0,0,111A Pecos Northbound Evening Routing,12910,2_merged_357925062,357905082,
b_356088846,0,4429,0,0,111A Pecos Northbound Evening Routing,12910,2_merged_357925062,357905083,
b_356088843,0,4429,0,0,111B Green Valley Pkwy / Pecos Northbound,12907,2_merged_357925062,357905080,
b_356089816,0,4429,0,0,111A Pecos Northbound Evening Routing,12910,2_merged_357925062,357905081,
b_356088841,0,4429,0,1,111A Pecos Southbound,12914,2_merged_357925062,357905088,
b_356088842,0,4429,0,1,111B Pecos / Green Valley Pkwy Southbound,12913,2_merged_357925062,357905089,
b_356089841,0,4433,0,1,119 Simmons / Koval Southbound,12933,3_merged_357925061,357916343,
b_356090004,0,4433,0,0,119 Koval / Simmons Northbound,12930,2_merged_357925062,357916342,
b_356089842,0,4433,0,1,119 Simmons / Koval Southbound,12934,3_merged_357925061,357916345,
a_356087722,0,4410,0,0,218 Cheyenne Eastbound,12801,3_merged_357925057,357892052,
a_356087721,0,4410,0,0,218 Cheyenne Eastbound,12801,3_merged_357925057,357892053,
a_356087721,0,4410,0,0,218 Cheyenne Eastbound,12801,3_merged_357925057,357892050,
a_356087723,0,4410,0,0,218 Cheyenne Eastbound,12801,3_merged_357925057,357892051,
a_356087722,0,4410,0,0,218 Cheyenne Eastbound,12801,3_merged_357925057,357892056,
a_356087721,0,4410,0,0,218 Cheyenne Eastbound,12801,3_merged_357925057,357892057,
a_356087722,0,4410,0,0,218 Cheyenne Eastbound,12801,3_merged_357925057,357892054,
a_356087721,0,4410,0,0,218 Cheyenne Eastbound,12801,3_merged_357925057,357892055,
a_356087722,0,4410,0,0,218 Cheyenne Eastbound,12801,3_merged_357925057,357892058,
a_356087721,0,4410,0,0,218 Cheyenne Eastbound,12802,3_merged_357925057,357892059,
b_356089840,0,4433,0,1,119 Simmons / Koval Southbound,12932,3_merged_357925061,357916344,
b_356089687,0,4438,0,1,202 Flamingo Westbound,12962,4_merged_357925064,357919340,
b_356089690,0,4438,0,1,202 Flamingo Westbound,12962,4_merged_357925064,357919341,
b_356089685,0,4438,0,1,202 Flamingo Westbound,12962,4_merged_357925064,357919342,
b_356089689,0,4438,0,1,202 Flamingo Westbound,12962,4_merged_357925064,357919343,
b_356089666,0,4438,0,1,202 Flamingo Westbound,12962,4_merged_357925064,357919344,
b_356089692,0,4438,0,1,202 Flamingo Westbound,12962,4_merged_357925064,357919345,
b_356089665,0,4438,0,1,202 Flamingo Westbound,12962,4_merged_357925064,357919346,
b_356088490,0,4450,0,1,219 Craig Westbound,13036,3_merged_357925061,357912065,
b_356089682,0,4438,0,1,202 Flamingo Westbound,12962,4_merged_357925064,357919348,
b_356089691,0,4438,0,1,202 Flamingo Westbound,12962,4_merged_357925064,357919349,
b_356088489,0,4450,0,1,219 Craig Westbound,13036,3_merged_357925061,357912066,
b_356088488,0,4450,0,1,219 Craig Westbound,13036,3_merged_357925061,357912067,
b_356090058,0,4461,0,0,121 Durango / Buffalo Northbound,13106,2_merged_357925062,357918004,
b_356089843,0,4433,0,1,119 Simmons / Koval Southbound,12932,3_merged_357925061,357916347,
b_356088915,0,4450,0,1,219 Craig Westbound,13035,3_merged_357925061,357912061,
b_356088907,0,4450,0,1,219 Craig Westbound,13035,3_merged_357925061,357912062,
b_356090059,0,4461,0,0,121 Durango / Buffalo Northbound,13106,2_merged_357925062,357918007,
b_356089841,0,4433,0,1,119 Simmons / Koval Southbound,12932,3_merged_357925061,357916346,
b_356089559,0,4427,0,1,109 Maryland Pkwy Southbound,12901,4_merged_357925064,357916033,
b_356088730,0,4427,0,1,109 Maryland Pkwy Southbound,12901,4_merged_357925064,357916032,
b_356089558,0,4427,0,1,109 Maryland Pkwy Southbound,12901,4_merged_357925064,357916031,
b_356089554,0,4427,0,1,109 Maryland Pkwy Southbound,12901,4_merged_357925064,357916030,
b_356089559,0,4427,0,1,109 Maryland Pkwy Southbound,12901,4_merged_357925064,357916037,
b_356090113,0,4427,0,1,109 Maryland Pkwy Southbound,12901,4_merged_357925064,357916036,
b_356088615,0,4427,0,1,109 Maryland Pkwy Southbound,12901,4_merged_357925064,357916035,
b_356088733,0,4427,0,1,109 Maryland Pkwy Southbound,12901,4_merged_357925064,357916034,
b_356088614,0,4427,0,1,109 Maryland Pkwy Southbound,12901,4_merged_357925064,357916039,
b_356088733,0,4427,0,1,109 Maryland Pkwy Southbound,12901,4_merged_357925064,357916038,
a_356087953,0,4411,0,0,219 Craig Eastbound,12807,4_merged_357925060,357895585,
a_356087959,0,4411,0,0,219 Craig Eastbound,12807,4_merged_357925060,357895584,
a_356087959,0,4411,0,0,219 Craig Eastbound,12807,4_merged_357925060,357895587,
a_356087960,0,4411,0,0,219 Craig Eastbound,12807,4_merged_357925060,357895586,
a_356087954,0,4411,0,0,219 Craig Eastbound,12807,4_merged_357925060,357895581,
a_356087971,0,4411,0,0,219 Craig Eastbound,12807,4_merged_357925060,357895580,
b_356089236,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,2_merged_357925062,357910434,
a_356087960,0,4411,0,0,219 Craig Eastbound,12807,4_merged_357925060,357895589,
a_356087953,0,4411,0,0,219 Craig Eastbound,12807,4_merged_357925060,357895588,
a_356087332,0,4400,0,0,203 Spring Mtn & Desert Inn Eastbound / Lamb Northbound,12739,3_merged_357925057,357889131,
a_356087541,0,4400,0,0,203 Spring Mtn & Desert Inn Eastbound / Lamb Northbound,12738,3_merged_357925057,357889130,
a_356086871,0,4400,0,0,203 Spring Mtn & Desert Inn Eastbound / Lamb Northbound,12739,3_merged_357925057,357889133,
a_356087542,0,4400,0,0,203 Spring Mtn & Desert Inn Eastbound / Lamb Northbound,12738,3_merged_357925057,357889132,
a_356087540,0,4400,0,0,203 Spring Mtn & Desert Inn Eastbound / Lamb Northbound,12739,3_merged_357925057,357889135,
a_356087539,0,4400,0,0,203 Spring Mtn & Desert Inn Eastbound / Lamb Northbound,12739,3_merged_357925057,357889134,
a_356087263,0,4400,0,0,203 Spring Mtn & Desert Inn Eastbound / Lamb Northbound,12739,3_merged_357925057,357889137,
a_356087543,0,4400,0,0,203 Spring Mtn & Desert Inn Eastbound / Lamb Northbound,12739,3_merged_357925057,357889136,
a_356087332,0,4400,0,0,203 Spring Mtn & Desert Inn Eastbound / Lamb Northbound,12739,3_merged_357925057,357889139,
a_356087541,0,4400,0,0,203 Spring Mtn & Desert Inn Eastbound / Lamb Northbound,12739,3_merged_357925057,357889138,
b_356089228,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,2_merged_357925062,357910432,
b_356089232,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,2_merged_357925062,357910438,
a_356087011,0,4409,0,1,217 Lake Mead Pkwy / Warm Springs (toward SSTT),12799,2_merged_357925058,357891772,
a_356087333,0,4409,0,0,217 Warm Springs / Lake Mead Pkwy Eastbound,12798,3_merged_357925057,357891773,
a_356087179,0,4409,0,1,217 Lake Mead Pkwy / Warm Springs (toward SSTT),12799,2_merged_357925058,357891770,
a_356087007,0,4409,0,1,217 Lake Mead Pkwy / Warm Springs (toward SSTT),12799,2_merged_357925058,357891771,
a_356087333,0,4409,0,0,217 Warm Springs / Lake Mead Pkwy Eastbound,12798,3_merged_357925057,357891776,
a_356087404,0,4409,0,0,217 Warm Springs / Lake Mead Pkwy Eastbound,12798,3_merged_357925057,357891777,
a_356087404,0,4409,0,0,217 Warm Springs / Lake Mead Pkwy Eastbound,12798,3_merged_357925057,357891774,
a_356087182,0,4409,0,0,217 Warm Springs / Lake Mead Pkwy Eastbound,12798,3_merged_357925057,357891775,
b_356089931,0,4440,0,0,206 Charleston Eastbound,12978,3_merged_357925061,357916697,
b_356089937,0,4440,0,0,206 Charleston Eastbound,12978,3_merged_357925061,357916696,
a_356087019,0,4409,0,0,217 Warm Springs / Lake Mead Pkwy Eastbound,12798,3_merged_357925057,357891778,
a_356087333,0,4409,0,0,217 Warm Springs / Lake Mead Pkwy Eastbound,12798,3_merged_357925057,357891779,
b_356089928,0,4440,0,0,206 Charleston Eastbound,12978,3_merged_357925061,357916693,
b_356089932,0,4440,0,0,206 Charleston Eastbound,12978,3_merged_357925061,357916692,
b_356089935,0,4440,0,0,206 Charleston Eastbound,12978,3_merged_357925061,357916691,
b_356089930,0,4440,0,0,206 Charleston Eastbound,12978,3_merged_357925061,357916690,
b_356090324,0,4460,0,0,120 Fort Apache / Rampart Northbound,13102,13_merged_357925063,357923769,
b_356089990,0,4455,0,0,BHX-B Boulder Hwy Express Northbound,13064,4_merged_357925064,357917342,
b_356089995,0,4455,0,0,BHX-A Boulder Hwy Express Northbound,13062,4_merged_357925064,357917343,
b_356089986,0,4455,0,0,BHX-B Boulder Hwy Express Northbound,13064,4_merged_357925064,357917340,
b_356089994,0,4455,0,0,BHX-A Boulder Hwy Express Northbound,13062,4_merged_357925064,357917341,
b_356089993,0,4455,0,0,BHX-B Boulder Hwy Express Northbound,13063,4_merged_357925064,357917346,
b_356089988,0,4455,0,0,BHX-A Boulder Hwy Express Northbound,13062,4_merged_357925064,357917347,
b_356089984,0,4455,0,0,BHX-B Boulder Hwy Express Northbound,13063,4_merged_357925064,357917344,
b_356089991,0,4455,0,0,BHX-A Boulder Hwy Express Northbound,13062,4_merged_357925064,357917345,
b_356089989,0,4455,0,0,BHX-B Boulder Hwy Express Northbound,13063,4_merged_357925064,357917348,
b_356089985,0,4455,0,0,BHX-A Boulder Hwy Express Northbound,13062,4_merged_357925064,357917349,
b_356088876,0,4430,0,0,113 N. Las Vegas Blvd Northbound,12915,3_merged_357925061,357905696,
b_356089969,0,4449,0,0,218 Cheyenne Eastbound,13029,3_merged_357925061,357916965,
b_356089971,0,4449,0,0,218 Cheyenne Eastbound,13029,3_merged_357925061,357916964,
b_356089971,0,4449,0,0,218 Cheyenne Eastbound,13029,3_merged_357925061,357916967,
b_356089970,0,4449,0,0,218 Cheyenne Eastbound,13029,3_merged_357925061,357916966,
b_356089971,0,4449,0,0,218 Cheyenne Eastbound,13029,3_merged_357925061,357916961,
b_356089970,0,4449,0,0,218 Cheyenne Eastbound,13029,3_merged_357925061,357916960,
b_356089970,0,4449,0,0,218 Cheyenne Eastbound,13029,3_merged_357925061,357916963,
b_356089969,0,4449,0,0,218 Cheyenne Eastbound,13029,3_merged_357925061,357916962,
b_356089970,0,4449,0,0,218 Cheyenne Eastbound,13029,3_merged_357925061,357916969,
b_356089969,0,4449,0,0,218 Cheyenne Eastbound,13029,3_merged_357925061,357916968,
b_356088876,0,4430,0,0,113 N. Las Vegas Blvd Northbound,12915,3_merged_357925061,357905690,
b_356090385,0,4452,0,1,221 Horizon Ridge / Cactus Westbound,13055,13_merged_357925063,357924528,
b_356090386,0,4452,0,1,221 Horizon Ridge / Cactus Westbound,13055,13_merged_357925063,357924529,
b_356090387,0,4452,0,1,221 Horizon Ridge / Cactus Westbound,13054,13_merged_357925063,357924520,
b_356090388,0,4452,0,1,221 Horizon Ridge / Cactus Westbound,13056,13_merged_357925063,357924521,
b_356090384,0,4452,0,1,221 Horizon Ridge / Cactus Westbound,13056,13_merged_357925063,357924522,
b_356090385,0,4452,0,1,221 Horizon Ridge / Cactus Westbound,13056,13_merged_357925063,357924523,
b_356090386,0,4452,0,1,221 Horizon Ridge / Cactus Westbound,13056,13_merged_357925063,357924524,
b_356090387,0,4452,0,1,221 Horizon Ridge / Cactus Westbound,13055,13_merged_357925063,357924525,
b_356090388,0,4452,0,1,221 Horizon Ridge / Cactus Westbound,13055,13_merged_357925063,357924526,
b_356090384,0,4452,0,1,221 Horizon Ridge / Cactus Westbound,13055,13_merged_357925063,357924527,
b_356089567,0,4453,0,1,Deuce on The Strip Southbound,13058,4_merged_357925064,357920069,
b_356089563,0,4453,0,1,Deuce on The Strip Southbound,13058,4_merged_357925064,357920068,
b_356089776,0,4463,0,1,209 Owens / Vegas Westbound (ends at Rainbow),13116,4_merged_357925064,357920061,
b_356089779,0,4463,0,1,209 Owens / Vegas Westbound,13118,4_merged_357925064,357920060,
b_356089565,0,4453,0,1,Deuce on The Strip Southbound,13058,4_merged_357925064,357920063,
b_356089563,0,4453,0,1,Deuce on The Strip Southbound,13058,4_merged_357925064,357920062,
b_356089562,0,4453,0,1,Deuce on The Strip Southbound,13058,4_merged_357925064,357920065,
b_356089561,0,4453,0,1,Deuce on The Strip Southbound,13058,4_merged_357925064,357920064,
b_356089566,0,4453,0,1,Deuce on The Strip Southbound,13058,4_merged_357925064,357920067,
b_356089564,0,4453,0,1,Deuce on The Strip Southbound,13058,4_merged_357925064,357920066,
a_356088158,0,4385,0,1,105 Martin L. King Southbound,12661,4_merged_357925060,357897349,
a_356088133,0,4385,0,1,105 Martin L. King Southbound,12661,4_merged_357925060,357897348,
a_356088134,0,4385,0,1,105 Martin L. King Southbound,12661,4_merged_357925060,357897345,
a_356087074,0,4385,0,1,105 Martin L. King Southbound,12661,4_merged_357925060,357897344,
a_356088157,0,4385,0,1,105 Martin L. King Southbound,12661,4_merged_357925060,357897347,
a_356088159,0,4385,0,1,105 Martin L. King Southbound,12661,4_merged_357925060,357897346,
a_356088133,0,4385,0,1,105 Martin L. King Southbound,12661,4_merged_357925060,357897341,
a_356088157,0,4385,0,1,105 Martin L. King Southbound,12661,4_merged_357925060,357897340,
a_356088132,0,4385,0,1,105 Martin L. King Southbound,12661,4_merged_357925060,357897343,
a_356088158,0,4385,0,1,105 Martin L. King Southbound,12661,4_merged_357925060,357897342,
b_356089243,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,3_merged_357925061,357910529,
b_356089242,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,3_merged_357925061,357910528,
b_356089237,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,3_merged_357925061,357910523,
b_356089243,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,3_merged_357925061,357910522,
b_356089242,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,3_merged_357925061,357910521,
b_356089239,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,3_merged_357925061,357910520,
b_356089239,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,3_merged_357925061,357910527,
b_356089241,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,3_merged_357925061,357910526,
b_356089238,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,3_merged_357925061,357910525,
b_356089240,0,4444,0,1,210 Lake Mead Blvd Westbound,13008,3_merged_357925061,357910524,
a_356086993,0,4397,0,0,122 S. Maryland Pkwy Northbound to SSTT,12717,4_merged_357925060,357887429,
a_356086992,0,4397,0,0,122 S. Maryland Pkwy Northbound to SSTT,12717,4_merged_357925060,357887428,
a_356087001,0,4397,0,0,122 S. Maryland Pkwy Northbound to SSTT,12718,4_merged_357925060,357887421,
a_356086993,0,4397,0,0,122 S. Maryland Pkwy Northbound to SSTT,12717,4_merged_357925060,357887423,
a_356087133,0,4397,0,0,122 S. Maryland Pkwy Northbound to SSTT,12717,4_merged_357925060,357887422,
a_356086993,0,4397,0,0,122 S. Maryland Pkwy Northbound to SSTT,12717,4_merged_357925060,357887425,
a_356086992,0,4397,0,0,122 S. Maryland Pkwy Northbound to SSTT,12717,4_merged_357925060,357887424,
a_356086993,0,4397,0,0,122 S. Maryland Pkwy Northbound to SSTT,12717,4_merged_357925060,357887427,
a_356086992,0,4397,0,0,122 S. Maryland Pkwy Northbound to SSTT,12717,4_merged_357925060,357887426,
b_356090300,0,4438,0,0,202 Flamingo Eastbound,12960,13_merged_357925063,357923608,
b_356090308,0,4438,0,0,202 Flamingo Eastbound,12960,13_merged_357925063,357923609,
b_356090303,0,4438,0,0,202 Flamingo Eastbound,12960,13_merged_357925063,357923600,
b_356090304,0,4438,0,0,202 Flamingo Eastbound,12960,13_merged_357925063,357923601,
b_356090310,0,4438,0,0,202 Flamingo Eastbound,12959,13_merged_357925063,357923602,
b_356090311,0,4438,0,0,202 Flamingo Eastbound,12960,13_merged_357925063,357923603,
b_356090305,0,4438,0,0,202 Flamingo Eastbound,12960,13_merged_357925063,357923604,
b_356090312,0,4438,0,0,202 Flamingo Eastbound,12960,13_merged_357925063,357923605,
b_356090306,0,4438,0,0,202 Flamingo Eastbound,12960,13_merged_357925063,357923606,
b_356090313,0,4438,0,0,202 Flamingo Eastbound,12960,13_merged_357925063,357923607,
a_356086855,0,4381,0,1,101 Rainbow Southbound,12638,2_merged_357925058,357881748,
